Region*Label	Region*Area	Point transect*Label	Point transect*Survey effort	Observation*Radial distance
ACDC	2400	23	2	
ACDC	2400	39	2	220,9
ACDC	2400	39	2	42,3
ACDC	2400	39	2	148,1
ACDC	2400	39	2	164,5
ACDC	2400	40	2	299,0
ACDC	2400	40	2	299,0
ACDC	2400	40	2	205,4
ACDC	2400	41	2	67,6
ACDC	2400	41	2	78,0
ACDC	2400	42	2	122,2
ACDC	2400	42	2	111,8
ACDC	2400	55	2	42,2
ACDC	2400	55	2	19,7
ACDC	2400	56	2	61,2
ACDC	2400	56	2	111,2
ACDC	2400	57	2	150,1
ACDC	2400	57	2	161,2
ACDC	2400	58	2	222,4
ACDC	2400	59	2	55,6
ACDC	2400	60	2	116,8
ACDC	2400	72	2	102,1
ACDC	2400	72	2	171,1
ACDC	2400	73	2	71,3
ACDC	2400	73	2	201,5
ACDC	2400	73	2	139,5
ACDC	2400	74	2	98,0
ACDC	2400	74	2	196,0
ACDC	2400	74	2	84,0
ACDC	2400	74	2	196,0
ACDC	2400	75	2	43,2
ACDC	2400	76	2	500,0
ACDC	2400	88	2	2,5
ACDC	2400	88	2	2,5
ACDC	2400	89	2	
ACDC	2400	90	2	143,0
ACDC	2400	90	2	183,0
ACDC	2400	91	2	90,0
ACDC	2400	91	2	45,0
ACDC	2400	91	2	144,0
ACDC	2400	105	2	
ACDC	2400	106	2	63,5
ACDC	2400	109	2	12,2
ACDC	2400	110	2	130,3
ACDC	2400	110	2	107,1
ACDC	2400	112	2	90,4
ACDC	2400	112	2	21,3
ACDC	2400	112	2	50,5
ACDC	2400	112	2	53,2
ACDC	2400	113	2	98,1
ACDC	2400	113	2	31,5
ACDC	2400	113	2	150,0
ACDC	2400	113	2	133,3
ACDC	2400	122	2	
ACDC	2400	123	2	85,5
ACDC	2400	123	2	97,0
ACDC	2400	123	2	104,0
ACDC	2400	123	2	82,4
ACDC	2400	123	2	82,4
ACDC	2400	123	2	87,0
ACDC	2400	125	2	45,1
ACDC	2400	125	2	130,8
ACDC	2400	125	2	66,7
ACDC	2400	125	2	43,0
ACDC	2400	126	2	75,8
ACDC	2400	126	2	136,3
ACDC	2400	126	2	122,4
ACDC	2400	126	2	146,9
ACDC	2400	126	2	70,4
ACDC	2400	126	2	87,9
ACDC	2400	126	2	174,4
ACDC	2400	127	2	154,5
ACDC	2400	127	2	9,2
ACDC	2400	127	2	88,7
ACDC	2400	128	2	157,6
ACDC	2400	128	2	58,1
ACDC	2400	129	2	40,7
ACDC	2400	129	2	101,8
ACDC	2400	129	2	77,7
ACDC	2400	129	2	81,5
